step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,4.463192116499552498e+01,1.000000000000000000e+00,1.113715202022535822e+00,2.689895248413085938e+01,0.000000000000000000e+00,-1.225126113886390584e+02,1.635999999999999943e+02
2.048000000000000000e+04,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,-1.061544184453540112e+02,0.000000000000000000e+00
4.096000000000000000e+04,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,-7.284107280904889592e+01,0.000000000000000000e+00
6.144000000000000000e+04,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,-4.492916010794256465e+01,0.000000000000000000e+00
8.192000000000000000e+04,1.157660123323258858e+02,1.000000000000000000e+00,1.119822032503543507e+00,2.685879154205322195e+01,0.000000000000000000e+00,4.358952442715031239e+00,1.880000000000000071e+01
1.024000000000000000e+05,5.778365791206126545e+01,1.000000000000000000e+00,1.119829746607774679e+00,2.685879154205322195e+01,0.000000000000000000e+00,3.337470181017267379e+01,9.000000000000000000e+00
1.228800000000000000e+05,1.122153008654258599e+02,1.000000000000000000e+00,1.119829746607774679e+00,2.685879154205322195e+01,0.000000000000000000e+00,5.373057561246703528e+01,1.040000000000000036e+01
1.433600000000000000e+05,1.227825114690847101e+02,1.000000000000000000e+00,1.119829746607774679e+00,2.685879154205322195e+01,0.000000000000000000e+00,6.111149803680542902e+01,1.180000000000000071e+01
1.638400000000000000e+05,1.028227240753042651e+02,1.000000000000000000e+00,1.119832232847784326e+00,2.685879154205322195e+01,0.000000000000000000e+00,7.434515649546359839e+01,6.500000000000000000e+00
1.843200000000000000e+05,1.262588720614682671e+02,1.000000000000000000e+00,1.119832232847784326e+00,2.685879154205322195e+01,0.000000000000000000e+00,8.587726754758004688e+01,1.009999999999999964e+01
2.048000000000000000e+05,1.241919343677301839e+02,1.000000000000000000e+00,1.123671006023596375e+00,2.665780773162841655e+01,0.000000000000000000e+00,9.072089896030387024e+01,8.900000000000000355e+00
2.252800000000000000e+05,1.267263713244064292e+02,1.000000000000000000e+00,1.123671006023596375e+00,2.665780773162841655e+01,0.000000000000000000e+00,1.003999311128073515e+02,7.900000000000000355e+00
2.457600000000000000e+05,1.258619574332469995e+02,1.000000000000000000e+00,1.119825013359331933e+00,2.685879154205322195e+01,0.000000000000000000e+00,1.067431976326593457e+02,1.090000000000000036e+01
2.662400000000000000e+05,1.197695874209394304e+02,1.000000000000000000e+00,1.127944943448591086e+00,2.509372692108154368e+01,0.000000000000000000e+00,1.107293337718083421e+02,1.559999999999999964e+01
2.867200000000000000e+05,1.251890752888623126e+02,1.000000000000000000e+00,1.130523557699257164e+00,2.637560005187988210e+01,0.000000000000000000e+00,1.101305347063618854e+02,1.200000000000000000e+01
2.990080000000000000e+05,1.241956343151898636e+02,1.000000000000000000e+00,1.135162456307944101e+00,2.613042488098144389e+01,0.000000000000000000e+00,1.110607883598708412e+02,1.259999999999999964e+01
