env,encoder,seed,steps,greedy_return,sampled_return,sla,cost,p99,ndpr_viol,migrations
v2,gat,1,1000000,25.25699391632572,97.96382743535415,0.9,1.0397165068770051,56.94318604469299,0,21.85
v2,gat,2,1000000,101.91182539568149,92.40117399244632,1.0,1.0300749779312581,19.4963463306427,0,41.6
v2,gat,3,1000000,86.55623291570528,73.51831276725349,1.0,1.0247483558147734,19.852942419052123,0,14.65
