step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,-5.699593457003455654e+00,9.000000000000000222e-01,1.121776448895457134e+00,9.078218269348144531e+01,0.000000000000000000e+00,-4.722339207085095580e+01,3.278000000000000114e+02
4.096000000000000000e+04,5.250350102585959888e+01,1.000000000000000000e+00,1.135034936249348814e+00,2.162740564346313477e+01,0.000000000000000000e+00,-1.661690716950124624e+01,3.320000000000000284e+01
8.192000000000000000e+04,-8.661657285521593508e+01,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,8.945000944902872231e-01,4.799999999999999822e+00
1.228800000000000000e+05,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,1.195769860413532371e+01,0.000000000000000000e+00
1.638400000000000000e+05,-2.632989815587699312e+01,9.000000000000000222e-01,1.154571443968996025e+00,8.841683702468871786e+01,0.000000000000000000e+00,2.363690450013746869e+01,8.400000000000000355e+00
2.048000000000000000e+05,-8.047243418323408548e+01,8.000000000000000444e-01,1.154099443853260798e+00,1.583402439117431584e+02,0.000000000000000000e+00,2.222652399035555604e+01,4.200000000000000178e+00
2.457600000000000000e+05,-4.686475433114286915e+01,9.000000000000000222e-01,1.151598177007042478e+00,8.875518236160277752e+01,0.000000000000000000e+00,4.405550336056045779e+01,1.050000000000000000e+01
2.867200000000000000e+05,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,3.513002509748460511e+01,0.000000000000000000e+00
3.276800000000000000e+05,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,3.908128680321768655e+01,0.000000000000000000e+00
3.686400000000000000e+05,-1.061193717921589013e+02,8.000000000000000444e-01,1.162029363870260568e+00,1.563523560523986760e+02,0.000000000000000000e+00,4.934893540065434792e+01,1.000000000000000000e+00
4.096000000000000000e+05,-1.036958461601137742e+02,8.000000000000000444e-01,1.159834651427598784e+00,1.576851687431335449e+02,0.000000000000000000e+00,5.113595052233389993e+01,1.600000000000000089e+00
4.505600000000000000e+05,-1.063298389411749696e+02,8.000000000000000444e-01,1.162709327518928193e+00,1.568738966941833439e+02,0.000000000000000000e+00,6.198128048748653640e+01,8.000000000000000444e-01
4.915200000000000000e+05,-8.245390425414959168e+01,8.000000000000000444e-01,1.162835226804298738e+00,1.588942359924316463e+02,0.000000000000000000e+00,6.576930697460500141e+01,4.799999999999999822e+00
5.324800000000000000e+05,-8.496868524274641743e+01,8.000000000000000444e-01,1.162835226804298738e+00,1.588942359924316463e+02,0.000000000000000000e+00,6.480241485763814069e+01,7.299999999999999822e+00
5.734400000000000000e+05,-7.625876231907561476e+01,8.000000000000000444e-01,1.157816772720587917e+00,1.593265039443969613e+02,0.000000000000000000e+00,7.013520414626933075e+01,8.699999999999999289e+00
6.144000000000000000e+05,2.842440797833921895e+00,9.000000000000000222e-01,1.151601157862830904e+00,8.875518236160277752e+01,0.000000000000000000e+00,8.523382781421562981e+01,1.839999999999999858e+01
6.553600000000000000e+05,1.072221030014329557e+01,9.000000000000000222e-01,1.151601157862830904e+00,8.875518236160277752e+01,0.000000000000000000e+00,9.577950247700525210e+01,1.000000000000000000e+01
6.963200000000000000e+05,4.253511167963948481e+01,1.000000000000000000e+00,1.141388676386338785e+00,2.108479318618774556e+01,0.000000000000000000e+00,1.046021874309212052e+02,1.090000000000000036e+01
7.372800000000000000e+05,1.924072032578572333e+01,9.000000000000000222e-01,1.154575866232278258e+00,8.830635519027710245e+01,0.000000000000000000e+00,1.132450411624503488e+02,9.599999999999999645e+00
7.782400000000000000e+05,1.038620468284505876e+02,1.000000000000000000e+00,1.141388676386338785e+00,2.108479318618774556e+01,0.000000000000000000e+00,1.112389224168490074e+02,1.390000000000000036e+01
8.192000000000000000e+05,1.241761583846839159e+02,1.000000000000000000e+00,1.144361943348292332e+00,2.063596601486205984e+01,0.000000000000000000e+00,1.178482687395109423e+02,2.469999999999999929e+01
8.601600000000000000e+05,1.108772088965324372e+02,1.000000000000000000e+00,1.141388676386338785e+00,2.108479318618774556e+01,0.000000000000000000e+00,1.209686567265675023e+02,1.509999999999999964e+01
9.011200000000000000e+05,1.100023108711341564e+02,1.000000000000000000e+00,1.142345643149144552e+00,2.120774202346801829e+01,0.000000000000000000e+00,1.223334629222759702e+02,1.359999999999999964e+01
9.420800000000000000e+05,1.042144487745870975e+02,1.000000000000000000e+00,1.141388676386338785e+00,2.108479318618774556e+01,0.000000000000000000e+00,1.190639343329422672e+02,1.550000000000000000e+01
9.830400000000000000e+05,1.116398708012746681e+02,1.000000000000000000e+00,1.141388676386338785e+00,2.108479318618774556e+01,0.000000000000000000e+00,1.221836770585019138e+02,1.550000000000000000e+01
9.994240000000000000e+05,1.121745539682146955e+02,1.000000000000000000e+00,1.141388676386338785e+00,2.108479318618774556e+01,0.000000000000000000e+00,1.251094545583283377e+02,1.369999999999999929e+01
