step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,-9.957597947953214401e+00,9.000000000000000222e-01,1.121774101779669852e+00,9.103418273925781534e+01,0.000000000000000000e+00,-4.252960345623345262e+01,2.419999999999999929e+01
4.096000000000000000e+04,6.281315495487135792e+01,1.000000000000000000e+00,1.126679118661729762e+00,2.431762466430664205e+01,0.000000000000000000e+00,-1.266751379327500437e+01,7.540000000000000568e+01
8.192000000000000000e+04,-1.037684379502815002e+00,9.000000000000000222e-01,1.150160452596378446e+00,8.885012559890746786e+01,0.000000000000000000e+00,5.899226875515911850e+00,1.100000000000000000e+01
1.228800000000000000e+05,-8.498625140005952971e+01,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,1.797494789490655620e+01,8.800000000000000711e+00
1.638400000000000000e+05,-1.464451359920476747e+01,9.000000000000000222e-01,1.130041869481055894e+00,9.452918071746826456e+01,0.000000000000000000e+00,4.699610604929713276e+01,1.119999999999999929e+01
2.048000000000000000e+05,-6.908838245092461250e+01,9.000000000000000222e-01,1.138697578962711621e+00,9.209934711456298828e+01,0.000000000000000000e+00,4.940145407138474809e+01,4.900000000000000355e+00
2.457600000000000000e+05,1.607574194506429466e+00,9.000000000000000222e-01,1.130042180466216406e+00,9.452918071746826456e+01,0.000000000000000000e+00,4.555256872480916286e+01,1.469999999999999929e+01
2.867200000000000000e+05,1.066434562324590773e+00,9.000000000000000222e-01,1.130040739058722377e+00,9.452918071746826456e+01,0.000000000000000000e+00,4.458024870301817799e+01,1.419999999999999929e+01
3.276800000000000000e+05,-5.408131911282466575e+01,9.000000000000000222e-01,1.135789555341176538e+00,9.290588417053223225e+01,0.000000000000000000e+00,7.130594347061126825e+01,4.900000000000000355e+00
3.686400000000000000e+05,9.373940492547319536e+00,9.000000000000000222e-01,1.130047647562014479e+00,9.452918071746826456e+01,0.000000000000000000e+00,8.932500550484093083e+01,1.450000000000000000e+01
4.096000000000000000e+05,1.244055015133770148e+01,9.000000000000000222e-01,1.150164874859660902e+00,8.885012559890746786e+01,0.000000000000000000e+00,8.512877280950891645e+01,1.960000000000000142e+01
4.505600000000000000e+05,9.648486887617616503e+01,1.000000000000000000e+00,1.140913684071318768e+00,2.249999399185180593e+01,0.000000000000000000e+00,9.013638851223707604e+01,1.580000000000000071e+01
4.915200000000000000e+05,9.196110653138001112e+01,1.000000000000000000e+00,1.139945037882148515e+00,2.117973642349243235e+01,0.000000000000000000e+00,9.974819058085083157e+01,2.000000000000000000e+01
5.324800000000000000e+05,1.200943319078556044e+02,1.000000000000000000e+00,1.119835166085522360e+00,2.685879154205322195e+01,0.000000000000000000e+00,9.839432200405875051e+01,1.919999999999999929e+01
5.734400000000000000e+05,1.178834746683512549e+02,1.000000000000000000e+00,1.119826454766825963e+00,2.685879154205322195e+01,0.000000000000000000e+00,1.066377367958516942e+02,1.480000000000000071e+01
6.144000000000000000e+05,1.248370931196743356e+02,1.000000000000000000e+00,1.119835166085522360e+00,2.685879154205322195e+01,0.000000000000000000e+00,1.106239627473929943e+02,6.000000000000000000e+00
6.553600000000000000e+05,1.064074261892850473e+02,1.000000000000000000e+00,1.119826454766825963e+00,2.685879154205322195e+01,0.000000000000000000e+00,1.208725410749193543e+02,1.919999999999999929e+01
6.963200000000000000e+05,1.132062709546983541e+02,1.000000000000000000e+00,1.142342709911406518e+00,2.120774202346801829e+01,0.000000000000000000e+00,1.232378886553450883e+02,1.390000000000000036e+01
7.372800000000000000e+05,1.221324089359047349e+02,1.000000000000000000e+00,1.142342709911406518e+00,2.120774202346801829e+01,0.000000000000000000e+00,1.217920460874938300e+02,1.610000000000000142e+01
7.782400000000000000e+05,1.288195083319676257e+02,1.000000000000000000e+00,1.141388676386338785e+00,2.108479318618774556e+01,0.000000000000000000e+00,1.234824534391351136e+02,1.390000000000000036e+01
8.192000000000000000e+05,1.296696652497281832e+02,1.000000000000000000e+00,1.144970847466879604e+00,2.074746847152709961e+01,0.000000000000000000e+00,1.233095760725540657e+02,1.680000000000000071e+01
8.601600000000000000e+05,1.032396817907996365e+02,1.000000000000000000e+00,1.144970847466879604e+00,2.074746847152709961e+01,0.000000000000000000e+00,1.271395128678703514e+02,1.559999999999999964e+01
9.011200000000000000e+05,1.314048842602422837e+02,1.000000000000000000e+00,1.142345643149144552e+00,2.120774202346801829e+01,0.000000000000000000e+00,1.224728764352948502e+02,1.680000000000000071e+01
9.420800000000000000e+05,1.036135742217653330e+02,1.000000000000000000e+00,1.144967914229141570e+00,2.074746847152709961e+01,0.000000000000000000e+00,1.283732704342811246e+02,1.269999999999999929e+01
9.830400000000000000e+05,9.502711384011186624e+01,1.000000000000000000e+00,1.144967914229141570e+00,2.074746847152709961e+01,0.000000000000000000e+00,1.301381693230683254e+02,1.269999999999999929e+01
9.994240000000000000e+05,9.412904110043419337e+01,1.000000000000000000e+00,1.144967914229141570e+00,2.074746847152709961e+01,0.000000000000000000e+00,1.301131631328079834e+02,1.290000000000000036e+01
