step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return
2.048000000000000000e+03,-6.937624724618487448e+00,9.000000000000000222e-01,1.121774101779669852e+00,9.027818260192870525e+01,0.000000000000000000e+00,1.170172340156441066e+02
2.048000000000000000e+04,4.537385930528260758e+01,9.000000000000000222e-01,1.158271957003716990e+00,8.802768735885619833e+01,0.000000000000000000e+00,1.241461819850457289e+02
4.096000000000000000e+04,9.070796956534590549e+01,1.000000000000000000e+00,1.135034936249348814e+00,2.162740564346313477e+01,0.000000000000000000e+00,1.288631616609987418e+02
6.144000000000000000e+04,9.259816434432464405e+01,1.000000000000000000e+00,1.108923732057451206e+00,2.280338745117187571e+01,0.000000000000000000e+00,1.318894631278226655e+02
8.192000000000000000e+04,9.253246682136270351e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.297138748168945455e+01,0.000000000000000000e+00,1.325632825991663140e+02
1.024000000000000000e+05,9.232281754504343496e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.297138748168945455e+01,0.000000000000000000e+00,1.320568990702801671e+02
1.228800000000000000e+05,9.290707710841461164e+01,1.000000000000000000e+00,1.136472660660012846e+00,2.153246240615844798e+01,0.000000000000000000e+00,1.304051643735135713e+02
1.433600000000000000e+05,9.316358206909205819e+01,1.000000000000000000e+00,1.127861726493517791e+00,2.355597829818725586e+01,0.000000000000000000e+00,1.348826863857767933e+02
1.638400000000000000e+05,9.333169434652003815e+01,1.000000000000000000e+00,1.113426891640267424e+00,2.666319789886474467e+01,0.000000000000000000e+00,1.347866290298241836e+02
1.843200000000000000e+05,9.016432965859124238e+01,1.000000000000000000e+00,1.141545340342645432e+00,2.163949527740478374e+01,0.000000000000000000e+00,1.308759174704327108e+02
2.048000000000000000e+05,9.138287944706510757e+01,1.000000000000000000e+00,1.141540404148497556e+00,2.149760875701904439e+01,0.000000000000000000e+00,1.351578449771448049e+02
2.252800000000000000e+05,9.163068918662510498e+01,1.000000000000000000e+00,1.140054831740553665e+00,2.119513769149780202e+01,0.000000000000000000e+00,1.364224089165124951e+02
2.457600000000000000e+05,9.175968460317257325e+01,1.000000000000000000e+00,1.141542962646815429e+00,2.174493541717529155e+01,0.000000000000000000e+00,1.337583492523281734e+02
2.662400000000000000e+05,9.143490144575977752e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.092842702865600657e+01,0.000000000000000000e+00,1.370258215790645124e+02
2.867200000000000000e+05,9.153229001151765942e+01,1.000000000000000000e+00,1.140054831740553665e+00,2.119513769149780202e+01,0.000000000000000000e+00,1.356423255678044484e+02
2.990080000000000000e+05,9.154556477894813327e+01,1.000000000000000000e+00,1.140054831740553665e+00,2.119513769149780202e+01,0.000000000000000000e+00,1.396651523964320063e+02
