step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return
2.048000000000000000e+03,9.140000000000000568e+01,1.000000000000000000e+00,1.110000000000000098e+00,2.300000000000000000e+01,0.000000000000000000e+00,1.165999999999999943e+02
2.048000000000000000e+04,9.179999999999999716e+01,1.000000000000000000e+00,1.139999999999999902e+00,2.200000000000000000e+01,0.000000000000000000e+00,1.260000000000000000e+02
4.096000000000000000e+04,9.179999999999999716e+01,1.000000000000000000e+00,1.139999999999999902e+00,2.100000000000000000e+01,0.000000000000000000e+00,1.304000000000000057e+02
6.144000000000000000e+04,9.209999999999999432e+01,1.000000000000000000e+00,1.110000000000000098e+00,2.300000000000000000e+01,0.000000000000000000e+00,1.330999999999999943e+02
8.192000000000000000e+04,9.229999999999999716e+01,1.000000000000000000e+00,1.110000000000000098e+00,2.400000000000000000e+01,0.000000000000000000e+00,1.335000000000000000e+02
