step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return
2.048000000000000000e+03,9.138063578300570100e+01,1.000000000000000000e+00,1.108919408461429112e+00,2.283138732910156321e+01,0.000000000000000000e+00,1.165985424466069560e+02
2.048000000000000000e+04,9.158842949308528603e+01,1.000000000000000000e+00,1.135034936249348814e+00,2.202549381256103445e+01,0.000000000000000000e+00,1.260054833978203561e+02
4.096000000000000000e+04,9.133483883103569667e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.092842702865600657e+01,0.000000000000000000e+00,1.301140593714212059e+02
6.144000000000000000e+04,9.226342153342963570e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,1.321999868876405344e+02
8.192000000000000000e+04,9.209606005438965326e+01,1.000000000000000000e+00,1.108918883183582782e+00,2.364338760375976634e+01,0.000000000000000000e+00,1.288188939852369970e+02
1.024000000000000000e+05,9.129668886642859604e+01,1.000000000000000000e+00,1.135034936249348814e+00,2.162740564346313477e+01,0.000000000000000000e+00,1.282786405426451495e+02
1.228800000000000000e+05,8.780937623636837941e+01,1.000000000000000000e+00,1.144970650329901307e+00,2.137453708648681783e+01,0.000000000000000000e+00,1.316741205303057427e+02
1.433600000000000000e+05,7.962237035586005618e+01,1.000000000000000000e+00,1.144964933373353144e+00,2.137453708648681783e+01,0.000000000000000000e+00,1.243430099778761786e+02
1.638400000000000000e+05,8.936011103849698145e+01,1.000000000000000000e+00,1.144970650329901307e+00,2.137453708648681783e+01,0.000000000000000000e+00,1.322392565169762975e+02
1.843200000000000000e+05,9.209405138965203719e+01,1.000000000000000000e+00,1.143996444008803293e+00,2.137237339019775462e+01,0.000000000000000000e+00,1.320172774922235419e+02
2.048000000000000000e+05,9.141897314770638161e+01,1.000000000000000000e+00,1.143993608545929463e+00,2.142837314605712962e+01,0.000000000000000000e+00,1.357474977946363026e+02
2.252800000000000000e+05,9.131891588971393503e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.175149555206298757e+01,0.000000000000000000e+00,1.350862813276667680e+02
2.457600000000000000e+05,9.238458942640708926e+01,1.000000000000000000e+00,1.140054831740553665e+00,2.119513769149780202e+01,0.000000000000000000e+00,1.337400926009338775e+02
2.662400000000000000e+05,9.242215360767765731e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.092842702865600657e+01,0.000000000000000000e+00,1.309683097814128416e+02
2.867200000000000000e+05,9.261779697855202187e+01,1.000000000000000000e+00,1.141539623386097491e+00,2.092842702865600657e+01,0.000000000000000000e+00,1.329699601592665772e+02
2.990080000000000000e+05,9.258061770793402445e+01,1.000000000000000000e+00,1.138861017647661900e+00,2.140983400344848775e+01,0.000000000000000000e+00,1.318024351255957640e+02
