encoder,seed,steps,greedy_return,sampled_return,sla,cost,p99,ndpr_viol
gat,1,300000,87.9495259022362,131.40043461443594,1.0,1.025942534308598,19.791628217697145,0
gat,2,300000,86.81917944156308,132.9084900359332,1.0,1.0265493676616757,19.367108011245726,0
gat,3,300000,87.15378360956338,133.8899602359827,1.0,1.026539441355044,19.6842800617218,0
