global_step,episodic_return
7.600000000000000000e+01,1.900000000000000000e+01
7.600000000000000000e+01,1.900000000000000000e+01
8.000000000000000000e+01,2.000000000000000000e+01
8.800000000000000000e+01,2.200000000000000000e+01
1.280000000000000000e+02,1.200000000000000000e+01
1.400000000000000000e+02,1.400000000000000000e+01
1.400000000000000000e+02,1.500000000000000000e+01
1.400000000000000000e+02,1.200000000000000000e+01
2.120000000000000000e+02,1.700000000000000000e+01
2.160000000000000000e+02,1.800000000000000000e+01
2.240000000000000000e+02,2.000000000000000000e+01
2.680000000000000000e+02,1.200000000000000000e+01
2.840000000000000000e+02,1.700000000000000000e+01
3.000000000000000000e+02,1.800000000000000000e+01
3.160000000000000000e+02,4.600000000000000000e+01
3.480000000000000000e+02,1.100000000000000000e+01
3.640000000000000000e+02,2.300000000000000000e+01
3.840000000000000000e+02,1.600000000000000000e+01
4.200000000000000000e+02,1.700000000000000000e+01
4.240000000000000000e+02,1.400000000000000000e+01
4.320000000000000000e+02,1.100000000000000000e+01
4.800000000000000000e+02,1.100000000000000000e+01
4.880000000000000000e+02,5.000000000000000000e+01
4.920000000000000000e+02,1.700000000000000000e+01
5.320000000000000000e+02,2.600000000000000000e+01
5.480000000000000000e+02,1.400000000000000000e+01
5.960000000000000000e+02,2.800000000000000000e+01
6.000000000000000000e+02,2.600000000000000000e+01
6.040000000000000000e+02,1.700000000000000000e+01
6.520000000000000000e+02,1.100000000000000000e+01
6.640000000000000000e+02,1.600000000000000000e+01
6.720000000000000000e+02,1.700000000000000000e+01
7.240000000000000000e+02,1.700000000000000000e+01
7.680000000000000000e+02,2.300000000000000000e+01
7.720000000000000000e+02,2.600000000000000000e+01
7.760000000000000000e+02,1.200000000000000000e+01
8.000000000000000000e+02,6.200000000000000000e+01
8.080000000000000000e+02,9.000000000000000000e+00
8.320000000000000000e+02,1.400000000000000000e+01
8.400000000000000000e+02,1.500000000000000000e+01
8.800000000000000000e+02,1.700000000000000000e+01
8.920000000000000000e+02,2.200000000000000000e+01
9.400000000000000000e+02,2.600000000000000000e+01
9.440000000000000000e+02,1.200000000000000000e+01
9.720000000000000000e+02,3.200000000000000000e+01
9.880000000000000000e+02,1.000000000000000000e+01
1.024000000000000000e+03,2.000000000000000000e+01
1.084000000000000000e+03,5.000000000000000000e+01
1.088000000000000000e+03,2.400000000000000000e+01
1.088000000000000000e+03,1.500000000000000000e+01
1.116000000000000000e+03,3.500000000000000000e+01
1.132000000000000000e+03,1.000000000000000000e+01
1.164000000000000000e+03,1.100000000000000000e+01
1.192000000000000000e+03,1.400000000000000000e+01
1.192000000000000000e+03,2.500000000000000000e+01
1.244000000000000000e+03,1.900000000000000000e+01
1.260000000000000000e+03,1.600000000000000000e+01
1.268000000000000000e+03,4.500000000000000000e+01
1.312000000000000000e+03,1.000000000000000000e+01
1.312000000000000000e+03,2.900000000000000000e+01
1.336000000000000000e+03,2.200000000000000000e+01
1.372000000000000000e+03,1.400000000000000000e+01
1.380000000000000000e+03,2.900000000000000000e+01
1.416000000000000000e+03,1.900000000000000000e+01
1.420000000000000000e+03,1.100000000000000000e+01
1.468000000000000000e+03,3.800000000000000000e+01
1.484000000000000000e+03,1.500000000000000000e+01
1.484000000000000000e+03,2.500000000000000000e+01
1.544000000000000000e+03,3.100000000000000000e+01
1.568000000000000000e+03,2.000000000000000000e+01
1.572000000000000000e+03,2.500000000000000000e+01
1.664000000000000000e+03,2.200000000000000000e+01
1.680000000000000000e+03,3.300000000000000000e+01
1.716000000000000000e+03,1.200000000000000000e+01
1.768000000000000000e+03,7.000000000000000000e+01
1.808000000000000000e+03,5.900000000000000000e+01
1.876000000000000000e+03,3.900000000000000000e+01
1.884000000000000000e+03,5.000000000000000000e+01
1.892000000000000000e+03,3.000000000000000000e+01
1.928000000000000000e+03,2.900000000000000000e+01
1.936000000000000000e+03,1.200000000000000000e+01
1.988000000000000000e+03,2.700000000000000000e+01
2.028000000000000000e+03,2.400000000000000000e+01
2.040000000000000000e+03,3.600000000000000000e+01
2.044000000000000000e+03,1.300000000000000000e+01
2.064000000000000000e+03,3.100000000000000000e+01
2.184000000000000000e+03,3.500000000000000000e+01
2.228000000000000000e+03,4.000000000000000000e+01
2.232000000000000000e+03,4.600000000000000000e+01
2.236000000000000000e+03,1.200000000000000000e+01
2.248000000000000000e+03,5.400000000000000000e+01
2.296000000000000000e+03,1.600000000000000000e+01
2.384000000000000000e+03,3.600000000000000000e+01
2.400000000000000000e+03,3.700000000000000000e+01
2.428000000000000000e+03,3.200000000000000000e+01
2.436000000000000000e+03,5.000000000000000000e+01
2.452000000000000000e+03,1.600000000000000000e+01
2.508000000000000000e+03,1.700000000000000000e+01
2.516000000000000000e+03,2.100000000000000000e+01
2.560000000000000000e+03,1.000000000000000000e+01
2.584000000000000000e+03,4.500000000000000000e+01
2.592000000000000000e+03,2.000000000000000000e+01
2.604000000000000000e+03,3.700000000000000000e+01
2.672000000000000000e+03,2.100000000000000000e+01
2.708000000000000000e+03,2.500000000000000000e+01
2.756000000000000000e+03,4.000000000000000000e+01
2.792000000000000000e+03,2.000000000000000000e+01
2.796000000000000000e+03,5.800000000000000000e+01
2.848000000000000000e+03,4.300000000000000000e+01
2.876000000000000000e+03,1.900000000000000000e+01
3.004000000000000000e+03,3.800000000000000000e+01
3.012000000000000000e+03,3.300000000000000000e+01
3.036000000000000000e+03,6.000000000000000000e+01
3.104000000000000000e+03,8.600000000000000000e+01
3.144000000000000000e+03,2.600000000000000000e+01
3.280000000000000000e+03,3.300000000000000000e+01
3.328000000000000000e+03,7.800000000000000000e+01
3.352000000000000000e+03,8.600000000000000000e+01
3.352000000000000000e+03,6.100000000000000000e+01
3.392000000000000000e+03,1.500000000000000000e+01
3.472000000000000000e+03,2.900000000000000000e+01
3.496000000000000000e+03,5.300000000000000000e+01
3.500000000000000000e+03,3.600000000000000000e+01
3.520000000000000000e+03,3.100000000000000000e+01
3.640000000000000000e+03,3.500000000000000000e+01
3.656000000000000000e+03,3.300000000000000000e+01
3.688000000000000000e+03,4.600000000000000000e+01
3.696000000000000000e+03,1.300000000000000000e+01
3.796000000000000000e+03,3.400000000000000000e+01
3.848000000000000000e+03,3.700000000000000000e+01
3.848000000000000000e+03,9.300000000000000000e+01
3.872000000000000000e+03,4.500000000000000000e+01
3.912000000000000000e+03,1.500000000000000000e+01
3.972000000000000000e+03,3.000000000000000000e+01
3.980000000000000000e+03,1.600000000000000000e+01
4.000000000000000000e+03,3.100000000000000000e+01
4.132000000000000000e+03,3.900000000000000000e+01
4.164000000000000000e+03,9.100000000000000000e+01
4.184000000000000000e+03,5.000000000000000000e+01
4.228000000000000000e+03,2.300000000000000000e+01
4.304000000000000000e+03,7.500000000000000000e+01
4.312000000000000000e+03,3.100000000000000000e+01
4.336000000000000000e+03,2.600000000000000000e+01
4.408000000000000000e+03,6.000000000000000000e+01
4.428000000000000000e+03,3.000000000000000000e+01
4.444000000000000000e+03,2.600000000000000000e+01
4.528000000000000000e+03,5.300000000000000000e+01
4.552000000000000000e+03,3.000000000000000000e+01
4.584000000000000000e+03,4.300000000000000000e+01
4.588000000000000000e+03,3.500000000000000000e+01
4.620000000000000000e+03,2.200000000000000000e+01
4.728000000000000000e+03,4.300000000000000000e+01
4.728000000000000000e+03,3.500000000000000000e+01
4.756000000000000000e+03,4.100000000000000000e+01
4.776000000000000000e+03,3.800000000000000000e+01
4.792000000000000000e+03,1.500000000000000000e+01
4.864000000000000000e+03,3.300000000000000000e+01
4.888000000000000000e+03,2.300000000000000000e+01
4.896000000000000000e+03,3.400000000000000000e+01
4.952000000000000000e+03,1.500000000000000000e+01
4.980000000000000000e+03,2.000000000000000000e+01
5.088000000000000000e+03,5.500000000000000000e+01
5.100000000000000000e+03,8.000000000000000000e+01
5.168000000000000000e+03,5.300000000000000000e+01
5.200000000000000000e+03,2.700000000000000000e+01
5.272000000000000000e+03,7.200000000000000000e+01
5.276000000000000000e+03,2.600000000000000000e+01
5.328000000000000000e+03,5.600000000000000000e+01
5.352000000000000000e+03,1.800000000000000000e+01
5.368000000000000000e+03,4.100000000000000000e+01
5.436000000000000000e+03,4.000000000000000000e+01
5.476000000000000000e+03,2.600000000000000000e+01
5.484000000000000000e+03,3.800000000000000000e+01
5.528000000000000000e+03,2.200000000000000000e+01
5.572000000000000000e+03,5.400000000000000000e+01
5.608000000000000000e+03,3.200000000000000000e+01
5.612000000000000000e+03,2.000000000000000000e+01
5.696000000000000000e+03,5.200000000000000000e+01
5.752000000000000000e+03,3.400000000000000000e+01
5.788000000000000000e+03,5.300000000000000000e+01
5.840000000000000000e+03,5.700000000000000000e+01
5.888000000000000000e+03,2.400000000000000000e+01
