step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,-1.146525095651309130e+02,8.000000000000000444e-01,1.164333626768939256e+00,1.559681222915649528e+02,0.000000000000000000e+00,-4.387799089573344702e+01,8.752000000000000455e+02
4.096000000000000000e+04,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,-2.421874617928803630e+01,0.000000000000000000e+00
8.192000000000000000e+04,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,1.191727716710867968e+00,0.000000000000000000e+00
1.228800000000000000e+05,-1.080740900111376988e+02,8.000000000000000444e-01,1.165561616420745850e+00,1.560597186088562012e+02,0.000000000000000000e+00,6.106135446364133301e+00,0.000000000000000000e+00
1.638400000000000000e+05,8.413053991217051930e+01,1.000000000000000000e+00,1.115459985372285745e+00,2.493939056396484233e+01,0.000000000000000000e+00,1.278398885533090734e+01,8.199999999999999289e+00
2.048000000000000000e+05,8.387847685163282563e+01,1.000000000000000000e+00,1.111797772401382556e+00,2.524094409942626882e+01,0.000000000000000000e+00,1.980086828859997894e+01,7.299999999999999822e+00
2.457600000000000000e+05,8.396562241484727451e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,4.490608552743110948e+01,6.000000000000000000e+00
2.867200000000000000e+05,9.855001362787598396e+01,1.000000000000000000e+00,1.115459985372285745e+00,2.493939056396484233e+01,0.000000000000000000e+00,4.378752716188888883e+01,9.400000000000000355e+00
3.276800000000000000e+05,9.804618489039020801e+01,1.000000000000000000e+00,1.115459985372285745e+00,2.493939056396484233e+01,0.000000000000000000e+00,5.942782439799280070e+01,8.000000000000000000e+00
3.686400000000000000e+05,9.863275907978415091e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,5.804061546151727669e+01,9.400000000000000355e+00
4.096000000000000000e+05,9.851555380117318350e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,4.617959947361266160e+01,1.040000000000000036e+01
4.505600000000000000e+05,9.790924862945890084e+01,1.000000000000000000e+00,1.118847826182445715e+00,2.682862796783447124e+01,0.000000000000000000e+00,6.280022822526052551e+01,9.900000000000000355e+00
4.915200000000000000e+05,9.794441313772870217e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,6.109252423878721316e+01,9.400000000000000355e+00
5.324800000000000000e+05,8.496557844373157309e+01,1.000000000000000000e+00,1.117379059896188576e+00,2.659739894866943288e+01,0.000000000000000000e+00,5.559802170728600146e+01,8.699999999999999289e+00
5.734400000000000000e+05,9.951812925677444355e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,5.771011249252931208e+01,9.800000000000000711e+00
6.144000000000000000e+05,9.971982702028978451e+01,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,7.870265045888842792e+01,1.000000000000000000e+01
6.553600000000000000e+05,1.046741105684951663e+02,1.000000000000000000e+00,1.117857799482385506e+00,2.681298313140869283e+01,0.000000000000000000e+00,8.177317082796571412e+01,1.080000000000000071e+01
6.963200000000000000e+05,1.058176427299187878e+02,1.000000000000000000e+00,1.119825013359331933e+00,2.685879154205322195e+01,0.000000000000000000e+00,8.892283680093846954e+01,1.430000000000000071e+01
7.372800000000000000e+05,1.088145835810387609e+02,1.000000000000000000e+00,1.118850807038234141e+00,2.682862796783447124e+01,0.000000000000000000e+00,9.975588844827809964e+01,1.359999999999999964e+01
7.782400000000000000e+05,9.861375244531708972e+01,1.000000000000000000e+00,1.119825013359331933e+00,2.685879154205322195e+01,0.000000000000000000e+00,1.048534757947374345e+02,1.330000000000000071e+01
8.192000000000000000e+05,1.093078971328195337e+02,1.000000000000000000e+00,1.118852248445727948e+00,2.682862796783447124e+01,0.000000000000000000e+00,1.076820664085904298e+02,1.150000000000000000e+01
8.601600000000000000e+05,1.110025733260815457e+02,1.000000000000000000e+00,1.139948018737936719e+00,2.117973642349243235e+01,0.000000000000000000e+00,1.112247794157292020e+02,1.469999999999999929e+01
9.011200000000000000e+05,1.080887583557605183e+02,1.000000000000000000e+00,1.139948018737936719e+00,2.117973642349243235e+01,0.000000000000000000e+00,1.146207435301139412e+02,1.789999999999999858e+01
9.420800000000000000e+05,1.110337006907062261e+02,1.000000000000000000e+00,1.139948018737936719e+00,2.117973642349243235e+01,0.000000000000000000e+00,1.141382592364598452e+02,2.010000000000000142e+01
9.830400000000000000e+05,1.094667884687221431e+02,1.000000000000000000e+00,1.139948018737936719e+00,2.117973642349243235e+01,0.000000000000000000e+00,1.179777420805905876e+02,1.889999999999999858e+01
9.994240000000000000e+05,1.088212421446191200e+02,1.000000000000000000e+00,1.139948018737936719e+00,2.117973642349243235e+01,0.000000000000000000e+00,1.206998437558980157e+02,1.810000000000000142e+01
