step,greedy_return,sla,cost,p99,ndpr_viol,sampled_return,migrations
2.048000000000000000e+03,-6.898695742199308256e+01,8.000000000000000444e-01,1.162176411737618764e+00,1.586727331161499137e+02,0.000000000000000000e+00,3.892425733092909468e+01,1.076700000000000045e+03
4.096000000000000000e+04,9.184606706135646448e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,4.795568547246409707e+01,1.540000000000000036e+01
8.192000000000000000e+04,9.129645797261434836e+01,1.000000000000000000e+00,1.134556196663152106e+00,2.141182146072387837e+01,0.000000000000000000e+00,5.798512586330853225e+01,1.390000000000000036e+01
1.228800000000000000e+05,9.194186975377202486e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,5.521355056517743520e+01,6.000000000000000000e+00
1.638400000000000000e+05,8.933674102012939500e+01,1.000000000000000000e+00,1.135040653205896977e+00,2.188715400695800639e+01,0.000000000000000000e+00,5.848058476163980401e+01,3.639999999999999858e+01
2.048000000000000000e+05,9.021433071330316977e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.297138748168945455e+01,0.000000000000000000e+00,6.052609534289324245e+01,2.939999999999999858e+01
2.457600000000000000e+05,8.987577283899879887e+01,1.000000000000000000e+00,1.112799006378440980e+00,2.474500694274902202e+01,0.000000000000000000e+00,5.800943315837358938e+01,2.919999999999999929e+01
2.867200000000000000e+05,9.755573746397229229e+01,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,5.676229910900845965e+01,2.619999999999999929e+01
3.276800000000000000e+05,9.194186975377202486e+01,1.000000000000000000e+00,1.108918015100903265e+00,2.364338760375976634e+01,0.000000000000000000e+00,6.155848629206134603e+01,6.000000000000000000e+00
3.686400000000000000e+05,9.313812901870139171e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,5.459096096234333118e+01,2.250000000000000000e+01
4.096000000000000000e+05,9.075456766229640948e+01,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,5.693479452944912822e+01,3.910000000000000142e+01
4.505600000000000000e+05,8.983610719918665666e+01,1.000000000000000000e+00,1.146948322677576515e+00,2.071430730819702148e+01,0.000000000000000000e+00,6.036251752482026944e+01,3.250000000000000000e+01
4.915200000000000000e+05,1.008282331733178694e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,6.130169457715053483e+01,2.560000000000000142e+01
5.324800000000000000e+05,9.111526851940651284e+01,1.000000000000000000e+00,1.135034936249348814e+00,2.162740564346313477e+01,0.000000000000000000e+00,6.471235558275876087e+01,1.240000000000000036e+01
5.734400000000000000e+05,1.048747514362630397e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,6.355920685480465693e+01,3.169999999999999929e+01
6.144000000000000000e+05,1.041471596831891020e+02,1.000000000000000000e+00,1.143990727052255352e+00,2.071730489730834890e+01,0.000000000000000000e+00,6.611573306355062130e+01,1.910000000000000142e+01
6.553600000000000000e+05,1.038616866933971750e+02,1.000000000000000000e+00,1.138970831561050501e+00,2.114957284927368164e+01,0.000000000000000000e+00,6.992124364071858622e+01,1.350000000000000000e+01
6.963200000000000000e+05,1.102048853556726442e+02,1.000000000000000000e+00,1.119822032503543507e+00,2.685879154205322195e+01,0.000000000000000000e+00,7.317207542485945737e+01,1.319999999999999929e+01
7.372800000000000000e+05,1.064667783938728292e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,7.748085907224205471e+01,2.360000000000000142e+01
7.782400000000000000e+05,1.075797762194321621e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,8.148173359870604315e+01,2.739999999999999858e+01
8.192000000000000000e+05,1.057413007316790328e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,8.124270265761778376e+01,3.760000000000000142e+01
8.601600000000000000e+05,1.038980884856004678e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,8.405143457061180357e+01,3.739999999999999858e+01
9.011200000000000000e+05,1.038446680227186505e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,8.568637535238255509e+01,4.239999999999999858e+01
9.420800000000000000e+05,1.018388266543607159e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,9.114734582882671532e+01,4.260000000000000142e+01
9.830400000000000000e+05,1.020784719542882470e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,9.160640806926447510e+01,3.939999999999999858e+01
9.994240000000000000e+05,1.032121871530939643e+02,1.000000000000000000e+00,1.144964933373353144e+00,2.074746847152709961e+01,0.000000000000000000e+00,9.505735443980748300e+01,4.100000000000000000e+01
